message,label
Let's meet tomorrow,0
Did you finish assignment,0
Where are you now,0
Call me when you are free,0
Project meeting at 5 pm,0
Are you coming to class today,0
Please send the notes,0
Lunch at canteen?,0
Submit assignment before deadline,0
Can we discuss project later,0
Free gift voucher claim now,1
You won lottery click link,1
Limited offer buy now,1
Win cash prize now,1
Urgent! Claim your reward,1
Get free recharge now,1
Click here to earn money,1
Exclusive deal only today,1
Congratulations you selected winner,1
Act fast limited stock buy now,1
